Wetland_Code,Aeshnidae,Amphipoda,Ancylidae,Baetidae,Belostomatidae,Bivalvia,Caenidae,Calanoida,Calopterygidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chrysomelidae,Cladocera,Coenagrionidae,Coleoptera,Collembola,Conchostraca,Corduliidae,Corixidae,Culicidae,Curculionidae,Cyclopoida,Diptera,Dixidae,Dytiscidae,Elmidae,Empididae,Ephemeroptera,Ephydridae,Erpobdellidae,Gammaridae,Gastropoda,Gerridae,Glossiphoniidae,Gyrinidae,Haemopidae,Haliplidae,Harpacticoida,Hebridae,Hemiptera,Hyalellidae,Hydracarina,Hydraenidae,Hydridae,Hydrobiidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Isotomidae,Lepidostomatidae,Leptoceridae,Lestidae,Libellulidae,Libellulidae_Corduliidae,Limnephilidae,Lumbriculidae,Lymnaeidae,Mesoveliidae,Naididae,Nematoda,Nepidae,Noctuidae,Notonectidae,Odonata,Oligochaeta,Ostracoda,Phryganeidae,Physidae,Pisauridae,Planorbidae,Polycentropodidae,Porifera,Psychodidae,Pyralidae,Saldidae,Sciomyzidae,Scirtidae,Sialidae,Simuliidae,Siphlonuridae,Sminthuridae,Sphaeriidae,Stratiomyidae,Syrphidae,Tabanidae,Terrestrial,Tetragnathidae,Tipulidae,Trichoptera,Valvatidae,Veliidae
ATH 3,0,0,0,3.183023873,0,0,0,0,0,0,1.856763926,23.87267905,0,13.52785146,0,0,0,0,0,2.122015915,0,0,2.652519894,0,0,1.326259947,0,0,0,0,0,0,0,0,0,0.265251989,0,0,0,0,0,0,0.530503979,0,0,12.20159151,0,0,0,0,0,0,0,0,0,0,0,0.795755968,0,0,2.387267905,0,0,9.814323607,0,0,0,0,0,0,0,0,5.305039788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530503979,0,0,0,0,0
ATP01,0,0,0,1.534090909,0,0,14.71590909,0,0,7.045454545,0,101.8181818,0,85.79545455,13.18181818,0,0,0,2.727272727,12.72727273,0,0,15.34090909,0,0,2.443181818,0,0,0,0,0,0,0,0,0,0,0,12.84090909,0,0,0,74.54545455,3.352272727,0,0,0,0,0,1.534090909,0,0,0,0,0,138.6363636,0,0,0,0,0,0,0,0,14.54545455,0,58.63636364,15.34090909,11.81818182,4.602272727,0,44.43181818,0,0,0,0,0,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0.909090909,0,0,1.534090909
ATP04,0,0,0,9.090909091,0,0,74.54545455,90.90909091,0,1.818181818,12.72727273,543.6363636,0,92.72727273,140,0,0,0,0,5.454545455,3.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,0,0,107.2727273,3.636363636,0,0,0,0,0,0,0,0,0,0,10.90909091,0,0,0,7.272727273,0,0,1.818181818,0,0,0,0,210.9090909,0,21.81818182,1.818181818,0,7.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.636363636,0,0
BOO,0.793650794,0,0,0,0,0,28.19248517,9.692982456,0,13.63826232,7.936507937,227.8678972,0,56.20300752,3.69047619,0,0,26.04878049,0,0,0,0,27.09294661,0,0,1.044166117,0,0,0,0,0.814536341,0,0,0,0,0,0,13.33542189,0,0,0,185.3884712,4.693210283,0,0,0,0,0,0,0,0,0.198412698,0,6.781542518,4.176664469,0,0,0,0,0,2.443609023,0,0,0,0.097560976,2.604878049,130.2439024,0,0,0,11.15914787,0,9.692982456,0,0,0,0,0,0,0,0,0,31.92982456,0,0,0,0,0,0,0,0,0
CND,0,0,0,0,0,0,0,13.04276928,0,2.288862479,8.244731394,59.76632062,0,14.9961795,0,0,0,0.256514474,0,0.21704558,0.868182318,0,0,0,0,0.21704558,0,0,0,0,0,0,0,0,0,0,0,0.256514474,0.256514474,0,0,0,0.769543422,0,4.202870482,0,0,0,0,0.256514474,0,0,0,0.298062593,0,0,0,9.739796872,0,23.63827313,0,0,0,0,0,0,14.9961795,0,0,0,0.473560054,0,2.782190321,0,0,0.513028948,0,0,0,0,0,0,0.256514474,0,0,0,0,0,1.282572371,0,0,0
ECP,2.247191011,0,0,16.85393258,0,0,139.3258427,3.370786517,0,0,0,167.4157303,0,57.30337079,8.988764045,0,0,1.123595506,1.123595506,2.247191011,0,0,57.30337079,0,2.247191011,1.123595506,0,0,5.617977528,0,0,0,0,0,0,0,0,1.123595506,0,0,0,77.52808989,5.617977528,0,6.741573034,7.865168539,0,0,11.23595506,0,0,0,0,0,0,0,0,4.494382022,0,0,0,0,0,0,0,17.97752809,12.35955056,1.123595506,8.988764045,0,3.370786517,7.865168539,1.123595506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123595506,3.370786517,1.123595506,0
EIP 7,0,0,0,0,0,0,0,0,0,15.64329523,0,6.563632562,0,8.276414831,0.059241706,0,0,0.165528297,0,0,0,0,0,0,0,0.296208531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059241706,0,0,0,0,0,0,0,0.49658489,0,0,0,0,0.059241706,0,0,0,0.224770003,0,0,1.655282966,0,0,0,0,0,0.165528297,6.493936437,0,0.059241706,0,0,0,0,0,0,0,0.58022024,0,0,0,0,0.165528297,0,0,0
EIP02,0,0,0,0,0,0,0,0,0,43.18181818,6.818181818,245.4545455,0,138.6363636,2.272727273,0,0,0,0,6.818181818,0,0,22.72727273,0,0,11.36363636,0,0,0,4.545454545,0,0,0,0,0,0,0,6.818181818,0,0,0,2.272727273,15.90909091,0,0,0,2.272727273,0,0,0,0,0,0,0,0,0,0,6.818181818,4.545454545,0,0,0,0,0,0,0,2.272727273,0,0,0,2.272727273,0,0,9.090909091,0,0,0,0,0,0,0,0,0,0,0,0,2.272727273,0,6.818181818,0,0,0
EIP03E,0,0,0,0,0,0,0,0,0,1.140684411,0,47.90874525,0,19.39163498,3.041825095,0,0,0,0,0,0,0,3.802281369,0,0,0.380228137,0,0,0,0,0,0,0,0,0,0,0,2.661596958,0,0,0,0,0.760456274,0,0,0,0,0,0,0,0,0,0,4.182509506,0,0,0,0,0,0,0,0,0,0.380228137,0,0.380228137,0.380228137,0,0,0,0,0,7.604562738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETP,1.052631579,0,0,1.052631579,0,0,0,18.12865497,0,66.9005848,5.263157895,220.7017544,0,90.64327485,4.678362573,0,0,0,0,0,2.865497076,0,0,0,0,1.052631579,0,0,0,0,0,0,0,5.438596491,0,0,0,0,0,0,0,0,1.812865497,1.812865497,3.625730994,9.064327485,3.157894737,0,0,1.812865497,0,0,0,1.052631579,0,0,0,1.052631579,16.31578947,0,1.812865497,0,0,0,0,58.71345029,18.12865497,0,2.105263158,4.210526316,0,0,0,0,0,0,0,0,0,0,0,1.812865497,0,0,0,0,2.865497076,1.052631579,7.368421053,0,0,15.55555556
FMC-E,0,0,0,0,0,0,0,0,0,10.17447199,0,317.8879706,0,11.01928375,25.99632691,0,0,0,0,0,0,0,11.01928375,0,0,1.101928375,0,0,0,0,0,0,0.137741047,0,0,0,0,4.126109581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137741047,1.922252831,0,0,5.371900826,0,0,0,0,0,0.275482094,0,1.101928375,1.101928375,0,0,0,6.611570248,0,0,0,0,0,0,0,0,0,0,0,0,1.101928375,0,0,1.101928375,0,0,1.101928375,0,0
GFP,0,0,0,21.42266336,0,0.496277916,11.33167907,0,0,2.564102564,11.99338296,51.61290323,0,6.038047974,10.91811414,0,0,0.578990902,0,0.248138958,0,0,5.789909016,0,0,0.827129859,0,0,0,0,2.729528536,0,0,0.248138958,0,0,0,1.902398677,0,0,0,7.361455749,2.564102564,0,0,0,0,0,0,0,0,0,0.248138958,0,0.248138958,0,0,0.496277916,0,0,0,0,0,0,1.736972705,7.52688172,5.789909016,0,0.496277916,0,12.65508685,0,0,0,0,0,0,0,0,0,0,0,0.578990902,0,0,0,0.827129859,0,0.248138958,1.985111663,0,0
GLD,0,0,0,0,0,0,9.06372549,2.666666667,0,13.31862745,0.531862745,85.40931373,0,3.198529412,2.666666667,0,0,0,0,0.531862745,0,0,26.66666667,0,0,4.262254902,0,0,0,2.666666667,0,0,0,0,2.12745098,0,0,0.166666667,0,0,0,153.9436275,2.666666667,0,0,2.666666667,0,0,0,0,0,0,0,0.5,0,0,0,2.666666667,0,0,0,0,0,1.698529412,0,153.3970588,26.66666667,0,0.531862745,0.531862745,15.44607843,0,0,0,0,0,0,0,0,0,0,0,0.531862745,0,0,0,3.198529412,0,0,0,5.333333333,0
GPW,0,0,0,1.619433198,0,0,68.97050318,0,0,5.725853094,0.954308849,59.54308849,0,9.54308849,8.588779641,0,0,0,0,0,0,0,0.954308849,0,0,0.4048583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.29786003,2.862926547,0,0,3.817235396,0,0,6.680161943,0,0,0,0,0.809716599,72.55639098,0,0,7.692307692,0,0,0,0,0,0,0,10.49739734,47.71544245,0.4048583,0,0,15.29786003,0,0,0,0,0,0,0,0,0,0,0,6.246385194,0,0,0,1.359167149,0,0,0,0,0.954308849
GRG 1,0.166944908,0,0,0.91368497,0,0,3.212561476,0.166944908,0,2.495149574,0,42.32955827,0,16.89753192,2.975680188,0,0,0,4.489464423,0,0,0,0.471506565,0.304561657,0,0.304561657,0,0,0,0,0,0,0,0,0.166944908,0,0,1.001669449,0,0.304561657,0,3.192257366,0.776068222,0,0,1.552136444,0.166944908,0,0,0,0.304561657,0,0,1.001669449,0,0,0,0.166944908,0,0,0.333889816,0,0,1.669449082,0,0.166944908,0.304561657,0.304561657,0.166944908,0,1.139286198,0,0,0,0,0,0,0,0,0,0,0,13.1615756,0,0,0,1.974010739,0,0,0,0,0
GRG 2,0,0.23889537,0.869858593,7.935222672,0.079051383,0,9.707190511,3.298739807,0,3.439584878,0.23889537,113.6933052,0,19.38537816,2.95194508,0,0,0,0,2.83782198,0.153022188,0,0.377867746,2.036613272,0,0.281690141,0,0,2.274929865,0,79.20428462,0,0.358343055,0,2.459954233,0,0,0.774276309,0.329873981,0,0,33.31837118,2.003461832,0,0.218276208,0.755735493,0,0,0.755735493,0,0,0,0,0.23715415,0.23715415,0.23889537,0.422535211,0.606988013,0.869858593,0,0.755735493,0,0,0.755148741,0,12.48332098,0.377867746,0.983981693,0.983981693,0,1.979243884,0.377867746,4.707190511,0,0,0.377867746,0,0,1.853840286,0,0.263157895,0,6.923370299,0,0.95558148,0.52631579,0.869858593,0,0.491990847,0.218276208,4.507042254,0
GTW,2.962009015,0,0,0,0,0,134.9346483,48.91946544,0,0.960788965,0,84.51384417,0,48.91946544,0.944408671,1.921577931,0,0,0.128783001,0,0,0,0,4.803944827,0,0,0.0643915,0,0,0,0,0,0,0,0.0643915,0,0,18.8412919,0,0,0,52.30736209,0,0,0,0,0,0,2.640051513,0,0,0,0,0,0,0.0643915,0,0.0643915,0,0,0,0,0,0,0,0,0,0.880017171,0,0,7.750703223,0,0,0,0,0,0,0,0,0,1.840806136,0,0.0643915,0,0,0,0,0,0,0,0,0
HGSA,8.045977011,0,0,10.34482759,0,0,0,0,0,2.298850575,0,0,0,11.49425287,29.88505747,0,0,0,0,1.149425287,3.448275862,0,0,0,0,2.298850575,0,0,0,0,0,0,0,0,0,0,0,1.149425287,0,0,0,2.298850575,0,0,0,521.8390805,0,0,0,0,0,0,1.149425287,18.3908046,0,0,0,12.64367816,0,0,0,0,1.149425287,1.149425287,0,0,0,1.149425287,2.298850575,0,0,0,0,0,0,0,19.54022989,0,0,0,0,0,0,0,0,0,12.64367816,0,0,0,0,0
MD8S,0,0,0,0,0,0,0,2.434456929,0,80.39142025,0,539.1013895,0,24.34456929,0,0,0,0,10.52472156,0,0,0,0,0,0,2.239388265,0,0,0,0,0,0,0,0,0,0,0,0.149158122,0,0,0,0,0,0,5.98860799,10.85752185,0,0,0,0,0,0,0,0.447474365,0,0,0,0.149158122,0,0,0,0,1.119694132,0.149158122,0,92.25675303,121.7228464,0,0,0,25.60861423,0,185.1654591,0,0,0,2.434456929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRW,0.610883635,0,0,2.475110619,0,0,42.68776417,0.221238938,0,18.50017749,0,97.45657773,0,13.20767567,17.32577434,0,0,0,0,0,1.22176727,0,12.3755531,0,0,1.23755531,0,0,0,0,0,0.610883635,0,1.23755531,0.610883635,0,0,0.610883635,0,0,0,27.06833642,3.085994254,0,0,0,0,0,7.393755779,0,0,0,0,4.718663321,16.65173854,0,0,4.307761524,1.848438945,16.69910266,0,0,0,0.610883635,0,0,2.069677883,0,1.22176727,0,90.26847923,0,0,0,0,0,0,0,0,0,0,0,24.53007364,0,0,0,0.221238938,0,1.832650905,0,0,1.22176727
RMP,3.15581854,0,0,1.257878424,0,0,21.07279693,19.54022989,0.383141763,25.25574291,0,119.9233716,0,19.54022989,9.562664057,0,0,0,0,1.53256705,1.915708812,0,3.235900402,0,0,0.383141763,0,0,0,0,0,0,0,1.038098204,0,0,0,9.562664057,0,0,0,14.53337486,4.214559387,0.383141763,3.448275862,0,0,0,0.766283525,0.766283525,0,0,0,0,2.076196408,0,0,3.0651341,0,4.980842912,0,0,0,0,0,59.52247483,3.235900402,0.383141763,0,0,2.298850575,0.766283525,0,0,0,0,0,0,0,0,0,0,1.149425287,0,0,0,0,0,0.766283525,1.038098204,0,0
RTM02,0,0,0,0,0,0,0,0.439172135,0,12.93315065,0,20.29191606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205668133,0,0,0,0.205668133,0,0,0,0,0,0,0,0.102834067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.286219081,0,0,0,0,0.379173578,0,0,71.27871926,21.95860676,0,0,0,4.205379678,0,0.542006202,0.102834067,0,0,0,0,0,0,0,0,0,0,0,0.276339511,0.439172135,0,0.61267758,0,0,0
SBD-S,0,0,0,0,0,0,0.196760234,0,0,1.118294212,0,116.7187266,0,9.254691829,0.15095919,0,0,0.921533978,0,0,0,0,0.921533978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039352047,0,0,0,0,0,0,1.843067956,0,0,0,0,0,0,0,0,0,0.148809524,0,0,0,0,0,0,0,0,0,0,3.686135913,9.215339782,0,0,0,3.72548796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921533978,0,0
SBP03,18.18181818,0,9.638554217,0,0,0,467.4698795,12.04819277,0,100,0,845.4545455,0,90.90909091,171.0843373,0,0,0,2.409638554,0,9.090909091,0,9.090909091,1.204819277,4.819277108,9.090909091,9.090909091,0,4.819277108,0,1.204819277,0,0,0,0,0,0,8.43373494,0,0,0,36.14457831,24.09638554,0,0,0,9.090909091,9.090909091,7.228915663,9.090909091,0,0,0,0,48.19277108,0,80.72289157,27.27272727,0,1.204819277,0,0,0,0,0,69.87951807,454.5454545,2.409638554,18.07228916,0,106.0240964,0,13.25301205,9.090909091,0,54.54545455,0,0,0,1.204819277,3.614457831,0,8.43373494,0,0,9.090909091,18.18181818,0,36.36363636,1.204819277,0,18.18181818
SHF,0.81300813,0,0,0,0,0,0,3.716608595,0,11.14982578,3.716608595,668.0603949,0,194.7735192,22.29965157,0,8.246225319,0,0,0.81300813,0,0,3.716608595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14982578,0,0,0,0,0,0,0,7.317073171,0,8.246225319,0,0,0,0,0,0,0,0,0.81300813,0,0.81300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716608595,0,0,0,0,0
SLW,13.33333333,0,0,0,0,0,6.666666667,66.66666667,0,13.33333333,0,546.6666667,0,6.666666667,200,0,0,66.66666667,0,6.666666667,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6.666666667,0,0,0,0,6.666666667,0,0,13.33333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,40,66.66666667,0,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,0,0,0,6.666666667,0,0,0,0,0
SNR,0.217391304,0,0,0,0,0,0.547826087,0,0,6.008695652,5.556521739,72.34782609,0,0.765217391,1.739130435,0,0,0,0.217391304,0.434782609,0.217391304,0,5.47826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0.217391304,0,0,0,0,0,0,0,1.086956522,0,0,0,0,0.547826087,0,0,0,0.547826087,0,0,38.45217391,0.547826087,1.313043478,0.652173913,0.434782609,1.304347826,0,0,0,0,0,0,0,0,0,0,0,17.07826087,0,0,0,0.765217391,0,0,0,0,0
SNR 2,0.974025974,0,0,62.26273726,0,0,44.40559441,0,0,14.83516484,4.595404595,120.1298701,0.324675325,13.81118881,9.340659341,0,0,0,3.246753247,0,0.324675325,0,13.48651349,0,0,0,0,0,0,0,0.649350649,0,0,0,0,0,0,1.673326673,0,0,0,55.04495504,2.697302697,0,0,0,0,0,0,0,0,1.348651349,0,1.298701299,16.45854146,0,0,1.673326673,0,0,0,0,0,0.324675325,0,5.394605395,13.48651349,0,0.649350649,0.324675325,18.13186813,0,0,0,0,1.348651349,0,0,0,0,0,0,0.324675325,0,0,0,1.673326673,0,2.697302697,0,0,0
SPC,0,0,0,0,0,0,0.469769465,0.469769465,0,1.87907786,0,42.85698353,0,0,0.211017053,0,0,0,0,0,0,0,0,0,0,0.844068213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93953893,0,21.30781499,1.735871784,0,0,0,0,0,0,0.211017053,0,0,0,5.176832737,0,0,3.826412822,0,3.37627285,0,0,19.00179565,0.469769465,0,1.246472825,0,5.541762862,0,0,0,1.646423752,1.150555983,0,0,0,0,0,0,3.308461873,1.477119372,0,0,0.211017053,0,0.93953893,0,0,0
STW,2.136752137,0,0,0,0,0,15,125,0,9.971509972,0,465,0,127.5,17.5,0,142.5,0,0,5,0,0,125,0,8.695652174,2.5,2.5,0,0.854700855,0,0,0,0,0,0,0,0,125,12.5,0,0,12.5,15,0,0,0,2.5,0,0,4.347826087,0,0,0,4.347826087,0,0,0,25,0,56.52173913,0,0,0,0,0,790,625,0,0.427350427,0,62.5,0,13.04347826,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.854700855,0.427350427,0,0
SWS 16,0,0,0,1.04371502,0,0,1.04371502,0,0,6.105209267,3.131145061,102.6436126,0,153.9392388,20.16336409,1.04371502,0,0,0,4.174860082,3.131145061,0,21.39441258,1.04371502,1.04371502,2.087430041,0,0,1.04371502,0,0,0,0,0,0,0,0,3.131145061,0,0,1.04371502,1.04371502,11.2190638,0,0,0,0,0,0,0,0,1.04371502,0,0,20.87430041,0,0,52.03216085,0,0,0,0,0,0,3.078784776,29.5346916,21.39441258,0,31.67448192,0,88.86587622,0,0,0,0,0,0,0,0,0,1.04371502,0,0,0,0,0,2.035069756,0,0,0,0,0
SWSS05,0,0,0,0,0,0,0,0,0,0.952380952,0,360.952381,0,2.857142857,1.904761905,0,0,0,0,0,0,0,0.952380952,0,0,0.952380952,0,6.666666667,0,0,0,0,0,1.904761905,0,0,0,0,0,0,0,0.952380952,0,0,0,0,0.952380952,0,0,0,0,0,0.952380952,0,0.952380952,0,0,0,3.80952381,0,0,0,0,0,0,0.952380952,0.952380952,0,0,0,1.904761905,0,0,0,0,0,0,0,0,2.857142857,0,0,0,0,0,0,0.952380952,0,0.952380952,0,0,0.952380952
SWSS15,0,0,0,0,0,0,3.544045441,44.79638009,0,3.583710407,0.876095119,166.1501877,0,45.67247521,29.36362761,0,0,0,8.395109271,0,0,0,0,0,0,3.524212959,0,0,0,0,0,0,0,0,0,0,0,1.752190238,0,0,0,39.80109753,6.271493213,0,0.895927602,0.895927602,0,0,0,0,0,0,0,0.876095119,0,0,0,0,0,0,0.895927602,0,0,0.895927602,0,26.83816309,44.79638009,0,3.504380476,0,5.256570713,0,0.895927602,0,0,0,0,1.752190238,0,0,0,0,0,0,0,0,0.895927602,0,3.563877924,0,0,0
W1E,0.950118765,0,0,0,0,0,0,0,0,1.425178147,0.950118765,3.800475059,0,11.87648456,0.237529691,0,0,0,0,0,0,0,0,0,0,0.950118765,0,0,0,0,0,0,0,0,0,0,0,0.950118765,0,0,0,0,0.237529691,0,0,0,1.90023753,0,0,0,0,0,0,4.038004751,1.187648456,0,0,61.52019002,0,0,0,0,0,0,0,5.225653207,0.237529691,0,4.275534442,0,2.137767221,0,0,0,0,0,0,12.11401425,0,0,0,0,0,0,0.237529691,0.712589074,0,0,0,0,0,0
