Wetland_Code,TotalPerGram,P.Diptera,P.Ephemeroptera,P.Trichoptera,P.Odonata,P.Gastropoda,P.Zooplank,P.Terrestrial,P.Oligochaeta,P.Amphipoda,P.OtherInsects,P.OtherNonInsecta
SBD-S,148.8622272,0.791584427,0.001321761,0.006190516,0.002013733,0.025026416,0.136455702,0,0.024762063,0,0.000264352,0.012381032
SBP03,2850.273822,0.356569188,0.166967683,0.006993813,0.084156323,0.056488491,0.203435422,0.006378972,0.053260578,0.01268109,0.038043268,0.01502517
SHF,949.3612079,0.71935405,0,0,0.040738929,0,0.212992415,0.003914852,0.000856374,0,0.001712748,0.020430634
SLW,1186.666667,0.471910112,0.005617978,0,0.196629214,0.011235955,0.230337078,0.005617978,0.033707865,0.016853933,0.005617978,0.022471911
SNR,161.0782609,0.5222954,0.003400993,0.008151587,0.020244009,0.013496006,0.04216152,0.004750594,0.23871734,0,0.009501187,0.137281365
SNR 2,412.9370629,0.345288498,0.258316196,0.003265997,0.075843716,0.049534293,0.098766178,0.004052256,0.013063989,0.133301077,0.008890771,0.00967703
SPC,118.2973645,0.398594845,0.00397109,0,0.00356757,0.28126479,0.00794218,0.001783785,0.160627379,0,0.081935313,0.060313049
STW,2814.128886,0.172174724,0.005633964,0.000151859,0.008522914,0.031244962,0.365314995,0.005330246,0.30081129,0.004441872,0.04886059,0.057512585
SWS 16,591.0475548,0.19812034,0.007063492,0.001765873,0.074641116,0.291977385,0.332846422,0.003443157,0.049970077,0.001765873,0.019424605,0.01898166
SWSS05,394.2857143,0.944444445,0,0,0.009661836,0.004830918,0.012077295,0.002415459,0.002415459,0.002415459,0.021739131,0
SWSS15,445.6938481,0.390792631,0.007951749,0,0.086684688,0.021667068,0.305503798,0.002010186,0.060216589,0.089301429,0.017780189,0.018091675
W1E,114.9643705,0.061983471,0,0,0.055785125,0.590909091,0.105371901,0,0.045454545,0,0.138429753,0.002066116
W1S1,434.3746547,0.114834225,0.184842274,0.005695448,0.147851836,0.169128831,0.130586839,0.002847724,0.034172689,0.160138017,0.044640322,0.002414071
W1S8,470.3042328,0.330360073,0.274473039,0.002406288,0.145741117,0.107910169,0.043549788,0,0.026011567,0.018792704,0.040554205,0.010201052
WBM,67.92705106,0.369871557,0.217778755,0.010607627,0.084308452,0,0.253067466,0,0,0,0.042868935,0.021497208
